Business Name,Category,Email,Town,Region,Council Website,City Slug,Outreach Category
Les pintures ornaven un indret poc corrent,la part inferior del cor de l'església. En època més tardana,probablement en refer-se la fa&ccedil;ana del segle xvii, es varen ocultar, i es va arrebossar i pintar de nou el sotacor com la resta de l&#39;esgl&eacute;sia. &Eacute;s probable que en aquella &egrave;poca estigu&eacute;s ja molt deteriorada la part inferior de cada banda de sota cor, per la humitat del s&ograve;l. Es van descobrir les pintures al 1954, per&ograve; no es van arrencar i fixar fins l&#39;any 1961. Van ser exposades a Madrid i Barcelona,📦 Altres
AMI - Associació de Municipis per la Independència,,ami@ami.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Apartament Cal Miquel,,cal-miquel@hotmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Associació de Micropobles de Catalunya - AMC,,info@micropobles.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Associació Diables Rocadepena,,diablesrocadepena@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Associació Fondistes Club Alpens,,contacte@trail3comarques.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Bioarquitectura Miquel Escobar,,mikelark22@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Ca la Palmira 1,,info@calapalmira.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Ca la Pepita,,pepc370@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Cal Climent,,nsabartes@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Cal Ferrer Nou,,calferrernou@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Cal Son,,costatrost@coac.net,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Contruccions Antigas Serrat,,jordi@puigdon.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Embotits Camprubí,,camprurovira@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Embotits Cruells,,cruells@embotitscruells.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Embotits Vilardaga,,info@embotitsvilardaga.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Fusteria Josep Castany,,josepcastanycamps@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Insertora laboral Empresa i ocupació,,consorci@consorci.llucanes.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
L'Alzina,,alpensalzina@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Les Pallisses,,alpensholidays@hotmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Mas Montjuïc,,masmontjuic@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Melmelades Cal Benet,,hola@calbenet.net,Alpens,Lluçanès,https://www.alpens.cat,alpens,📦 Altres
Taller de forja i escultura Montferrer,,enricpla@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,🔧 Serveis
"Mas-Soler 2000, SL",Mecanització de peces i treballs amb torn,massoler@massoler.com,Balenyà,Osona,https://www.balenya.cat,balenya,📦 Altres
"Moycor Vic, SL",,info@moycorvic.es,Balenyà,Osona,https://www.balenya.cat,balenya,📦 Altres
