Business Name,Category,Email,Town,Region,Council Website,City Slug,Outreach Category
Taller de forja i escultura Montferrer,,enricpla@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens,🔧 Serveis
Embotits Arumí Castells SL,Carnisseria i cansaladeria,embutidos@arumicastells.com,Balenyà,Osona,https://www.balenya.cat,balenya,🛍️ Comerç
Fashion perruquers,Perruqueria home i dona,info@fashionperruquers.com,Balenyà,Osona,https://www.balenya.cat,balenya,💇 Bellesa/Salut
Flikflak - Punt Jove,"El Flik Flak PuntJove és un servei d'informació i orientació juvenil que disposa de dos serveis: el Servei d'Informació i Orientació i l'Espai jove. Són dos serveis públics i gratuïts que s'ofereixen a tots els joves a partir de 12 anys d'una manera contrastada, àmplia i plural.",flikflak@balenya.cat,Balenyà,Osona,https://www.balenya.cat,balenya,💇 Bellesa/Salut
Forn Nou,Pa i pastisseria,collfreixanet@yahoo.es,Balenyà,Osona,https://www.balenya.cat,balenya,🛍️ Comerç
Fusteria Sayós de Josep Carbonell Sayós,"Decoració i mobles, fusteria en general, tancaments PVC K&ouml;mmerling, alumini mixta, sistemes de tancament.",info@fusteriasayos.com,Balenyà,Osona,https://www.balenya.cat,balenya,🛍️ Comerç
L'Estanc de la Mari,"Tabac, articles de fumador i regals",maricarmenyjorge@gmail.com,Balenyà,Osona,https://www.balenya.cat,balenya,🛍️ Comerç
Mate perruqueria,Perruqueria,matea.pere@hotmail.com,Balenyà,Osona,https://www.balenya.cat,balenya,💇 Bellesa/Salut
Recien llovido,"Disseny i producció de joieria, venda de roba i complements",recienllovido@gmail.com,Balenyà,Osona,https://www.balenya.cat,balenya,🛍️ Comerç
Bar-Restaurant Cobert de Puigcercós,,elcobert@hotmail.com,Borredà,Berguedà,https://www.borreda.cat,borreda,🍽️ Restaurant/Bar
Restaurant Baix Pirineu,,info@baixpirineu.com,Borredà,Berguedà,https://www.borreda.cat,borreda,🍽️ Restaurant/Bar
Restaurant Riera de Merlès,,info@campingrieramerles.com,Borredà,Berguedà,https://www.borreda.cat,borreda,🍽️ Restaurant/Bar
"COMERMA TORRAS, MARIA DOLORS",Despatx professional d'assessorament empresarial.,dolorscomerma@economistes.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,💇 Bellesa/Salut
"FERRETERIA EUMAN, S.L.","Ferreteria, jardineria, bricolatge, eines, pintures, maquinària, parament, drogueria, servei de reparació propi, lloguer de màquinaria.",info@ferreteriaeuman.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🛍️ Comerç
"Pavelló municipal poliesportiu ""El Torrental""",,cdtn.pavello@calldetenes.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🎭 Cultura/Oci
Auditori Teatre Calldetenes,"L'Auditori Teatre de Calldetenes, construït a la plaça Onze de Setembre al costat de l'Ajuntament, va ser inaugurat el 22 de setembre de 2007 amb la presència al conseller de Cultura de la Generalitat, Josep Manuel Tresserras.",info@teatrecalldetenes.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🎭 Cultura/Oci
CARNISSERIES XARCUTERIA SABORIT,Carnisseria i xarcuteria.,info@carnisseriasaborit.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🛍️ Comerç
CrearIAM,"Espai de creació lliure on es duen tallers d'educació creadora i creació lliure a les tardes. També tallers puntuals de macramé, llanes, fofutxes i casals d'estiu.",creariam369@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,💇 Bellesa/Salut
L'Espardenya Teatre,,espardenyatcalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,💇 Bellesa/Salut
LA RUTLLA LLEURE,Una mirada conscient al lleure educatiu.,cris.boixeda@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🎭 Cultura/Oci
LLIBRERIA EL CLIP,"Llibreria, papereria, diaris, joguines, articles de rebal, fotocòpies i molt més.",nuria.nafa68@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🛍️ Comerç
PEIXATERIA MARIA DOLORS,"Venta al detall de peix i marisc fresc comprat directament a la Confraria de Palamós i altres productes de la pesca com ara productes congelats. A més, d'un assortiment variat de productes alimentaris.",peixateriacalldetenes@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🛍️ Comerç
SAMDANCE- SamFit Club,Nutrició i esport.,info@samdance.cat,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🎭 Cultura/Oci
SPAR,Supermercat.,valvi@valvi.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes,🛍️ Comerç
Associació Cultural Xavier Flaquer Juvany,,ccandelich@yahoo.es,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🎭 Cultura/Oci
Associació Esportiva Triescicling,"Entitat al servei de l'esport: Cronometratge de curses, plataforma d'inscripcions, app's de seguiment online de corredors, tot el que es necesita pels events.",info@triescicling.es,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🎭 Cultura/Oci
Associació Esportiva Triescicling,"L'Associació Esportiva Triescicling es una entitat esportiva, de caràcter Ciclista, i és la encarregada d'Organitzar el Trail de Vallforners.",triescicling@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🎭 Cultura/Oci
Centre Cívic Xavier Flaquer i Juvany de Samalús,,grauoj@canovesisamalus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🎭 Cultura/Oci
Consultori Veterinari de Cànoves Vetovallès,,vetovallesveterinaria@gmail.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,💇 Bellesa/Salut
Hortus,Granja Escola i Horts de lloguer a Samalús. Visites per famílies amb reserva prèvia.,info@hortus.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🍽️ Restaurant/Bar
Jardinería del Vallés,,info@jardineriadelvalles.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🔧 Serveis
Pista poliesportiva JM Jiménez Tortosa,,parrammr@canovesisamalus.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🎭 Cultura/Oci
Restaurant Can Garriga,,info@restaurantcangarriga.com,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🍽️ Restaurant/Bar
Turisme rural Les Oliveres,,info@lesoliveres.cat,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,canoves-i-samalus,🏨 Allotjament
"Perruqueria ""Pinta d'Or""",Perruqueria unisex.,mencar.26@hotmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,💇 Bellesa/Salut
Ball de Gitanes,,mrafols@torres.es,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🎭 Cultura/Oci
Ball de Pastorets,,balldepastoretsdelamunia@hotmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🎭 Cultura/Oci
Cal Pau Pujol,"Sabateria, calçats especials per plantilles, espardenyes per balls populars.",calpaupujolbotiga@gmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🛍️ Comerç
Carles Fortuny Fotògraf,"Estudi de fotografia especialitzat en fotografia de producte, reportatge social, retrat, interiorisme, publicitat i qualsevol encàrrec fotogràfic.",carlesfortunyfotograf@gmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🔧 Serveis
Carnisseria i xarcuteria Montse Coll,"Carnisseria d'àmbit familiar amb xarcuteria, làctics i congelats",tutuscoll@gmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🛍️ Comerç
Esbart Dansaire de la Múnia,,esbartlamunia@gmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🎭 Cultura/Oci
Espai Jove,,joventut03@ccapenedes.cat,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,💇 Bellesa/Salut
Estanc - bar - restaurant La Múnia,,alamielmueden@gmail.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🍽️ Restaurant/Bar
Pedro Garcia,Coordinador entre l'Ajuntament de Castellví de la Marca i l'Escola Esportiva Municipal,ctvm.esports@castellvidelamarca.cat,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🎭 Cultura/Oci
Restaurant Cal Padrí,,info@calpadri.com,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,castellvi-de-la-marca,🍽️ Restaurant/Bar
Casa Vall Llòbrega - Turisme rural,,info@valltr.com,Cercs,Berguedà,https://www.cercs.cat,cercs,🏨 Allotjament
Hotel Berga Park,,reserves@hotelbergapark.com,Cercs,Berguedà,https://www.cercs.cat,cercs,🏨 Allotjament
Hotel Santa Bàrbara **,,info@hotelsanta-barbara.com,Cercs,Berguedà,https://www.cercs.cat,cercs,🏨 Allotjament
Restaurant L’Estany Clar,,estanyclar@estanyclar.com,Cercs,Berguedà,https://www.cercs.cat,cercs,🍽️ Restaurant/Bar
Cal Puó Turisme Rural,"Cal Puó és una casa de poble al bell mig de Collsuspina, just davant l'església, on s'hi poden trobar 3 apartaments de turisme rural independents, totalment equipats, per passar uns dies en un entorn tranquil i privilegiat.",info@calpuo.cat,Collsuspina,Moianès,https://www.collsuspina.cat,collsuspina,🍽️ Restaurant/Bar
Can Xarina,Cuina tradicional catalana i de mercat.,info@canxarina.com,Collsuspina,Moianès,https://www.collsuspina.cat,collsuspina,🛍️ Comerç
La Bufa,El restaurant ofereix una cuina catalana casolana elaborada amb productes de proximitat i especialitzada en carns a la brasa i calçotades.,info@labufa.cat,Collsuspina,Moianès,https://www.collsuspina.cat,collsuspina,🍽️ Restaurant/Bar
ASSOCIACIÓ CULTURAL 7ARTS,,7arts.canyamars@gmail.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🎭 Cultura/Oci
ASSOCIACIÓ MÚSICA NATURA I COLORS,"Entitat dedicada a l'ensenyament musical, producció d'esdeveniments i desenvolupament artístic.",ivan@lameva.net,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🎭 Cultura/Oci
Autoescola Beltrán,,autoescolatramvia@hotmail.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🔧 Serveis
Bar El Comú,Bar plats combinats,chechu4144@hotmail.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🍽️ Restaurant/Bar
Bar Restaurant Can Parral,Bar restaurant,canparral@hotmail.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🍽️ Restaurant/Bar
Bar Restaurant Centre Esportiu Can Batlle,"Zona d'oci i recreativa, als afores del municipi de Dosrius, en plena natura Disposa de Camp de futbol municipal, piscina.",zonacanbatlle@hotmail.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🍽️ Restaurant/Bar
Centre Veterinari Dosrius,"Centre veterinari amb perruqueria canina i felina, alimentació i accesoris.",consulta@cvetdosrius.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🛍️ Comerç
Club Esportiu Dosrius del Maresme,,salafutdos@hotmail.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🎭 Cultura/Oci
Cultural de Que Rius (Associació),,dequeriusdosrius@gmail.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🎭 Cultura/Oci
Espai Jove de Dosrius,,joves@dosrius.cat,Dosrius,Maresme,https://www.dosrius.cat,dosrius,💇 Bellesa/Salut
Estanc de Dosrius,,estancdosrius@hotmail.com,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🛍️ Comerç
Finques Inter,Serveis d'assessorament immobiliari,info@interinmobiliaria.es,Dosrius,Maresme,https://www.dosrius.cat,dosrius,🔧 Serveis
