Business Name,Category,Email,Town,Region,Council Website,City Slug (for targeting)
Oficina d'atenció a la ciutadania (OAC),,alpens@alpens.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
Apartament Cal Miquel,,cal-miquel@hotmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Escola La Forja - ZER Alt Lluçanès,,a8000086@xtec.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
Associació Diables Rocadepena,,diablesrocadepena@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Associació Fondistes Club Alpens,,contacte@trail3comarques.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Contruccions Antigas Serrat,,jordi@puigdon.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Mossos d'Esquadra,,mossos.rpcentralcentreseducatius@gencat.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
Les Pallisses,,alpensholidays@hotmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Casal municipal,,alpens@diba.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
Ca la Palmira 1,,info@calapalmira.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Embotits Camprubí,,camprurovira@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Embotits Cruells,,cruells@embotitscruells.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
AMI - Associació de Municipis per la Independència,,ami@ami.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
Insertora laboral Empresa i ocupació,,consorci@consorci.llucanes.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
Cal Ferrer Nou,,calferrernou@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Embotits Vilardaga,,info@embotitsvilardaga.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
Associació de Micropobles de Catalunya - AMC,,info@micropobles.cat,Alpens,Lluçanès,https://www.alpens.cat,alpens
Cal Son,,costatrost@coac.net,Alpens,Lluçanès,https://www.alpens.cat,alpens
Fusteria Josep Castany,,josepcastanycamps@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Melmelades Cal Benet,,hola@calbenet.net,Alpens,Lluçanès,https://www.alpens.cat,alpens
Taller de forja i escultura Montferrer,,enricpla@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
L'Alzina,,alpensalzina@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Bioarquitectura Miquel Escobar,,mikelark22@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Cal Climent,,nsabartes@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Mas Montjuïc,,masmontjuic@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Ca la Pepita,,pepc370@gmail.com,Alpens,Lluçanès,https://www.alpens.cat,alpens
Aula de Formació i Cultura de Balenyà,"Escola de persones adultes de Baleny&agrave; on s&rsquo;ofereix un gran ventall de cursos i tallers orientats a la formaci&oacute; acad&egrave;mica, a la millora de l&rsquo;ocupabilitat i al foment de la salut i el benestar de les persones.",aulafcb@balenya.cat,Balenyà,Osona,https://www.balenya.cat,balenya
Aula de música Els Hostalets de Balenyà,Aula de M&uacute;sica&nbsp; de l&#39;Associaci&oacute; Amics de Baleny&agrave; on es desenvolupa:,aulahostalets@gmail.com,Balenyà,Osona,https://www.balenya.cat,balenya
Biblioteca El Drac,"La biblioteca el Drac &eacute;s la biblioteca municipal de Baleny&agrave;, &eacute;s un servei p&uacute;blic de foment de la lectura i desenvolupament cultural. T&eacute; com a objectiu ser un centre local d&rsquo;informaci&oacute; i coneixement, proporcionant eines per a l&rsquo;aprenentatge i facilitar l&rsquo;acc&eacute;s a la informaci&oacute;.",biblioteca@balenya.cat,Balenyà,Osona,https://www.balenya.cat,balenya
Bolets de soca,,info@boletsdesoca.com,Balenyà,Osona,https://www.balenya.cat,balenya
Ca la Glòria,,calagloria11@gmail.com,Balenyà,Osona,https://www.balenya.cat,balenya
Casa Oms,Elaboraci&oacute; i venda d&#39;embotits artesans,urbici@casaoms.es,Balenyà,Osona,https://www.balenya.cat,balenya
Embotits Arumí Castells SL,Carnisseria i cansaladeria,embutidos@arumicastells.com,Balenyà,Osona,https://www.balenya.cat,balenya
Escola bressol El Roc Petit,El Roc Petit &eacute;s una escola bressol municipal que imparteix el primer cicle d&rsquo;educaci&oacute; infantil i vetlla perqu&egrave; aquesta etapa sigui oberta i flexible.,elrocpetit@balenya.cat,Balenyà,Osona,https://www.balenya.cat,balenya
Fashion perruquers,Perruqueria home i dona,info@fashionperruquers.com,Balenyà,Osona,https://www.balenya.cat,balenya
Flikflak - Punt Jove,"El Flik Flak PuntJove &eacute;s un servei d&rsquo;informaci&oacute; i orientaci&oacute; juvenil que disposa de dos serveis: el Servei d&rsquo;Informaci&oacute; i Orientaci&oacute; i l&rsquo;Espai jove. S&oacute;n dos serveis p&uacute;blics i gratu&iuml;ts que s&rsquo;ofereixen a tots els joves a partir de 12 anys d&rsquo;una manera contrastada, &agrave;mplia i plural.",flikflak@balenya.cat,Balenyà,Osona,https://www.balenya.cat,balenya
Forn Nou,Pa i pastisseria,collfreixanet@yahoo.es,Balenyà,Osona,https://www.balenya.cat,balenya
Fusteria Sayós de Josep Carbonell Sayós,"Decoraci&oacute; i mobles, fusteria en general, tancaments PVC K&ouml;mmerling, alumini mixta, sistemes de tancament.",info@fusteriasayos.com,Balenyà,Osona,https://www.balenya.cat,balenya
L'Estanc de la Mari,"Tabac, articles de fumador i regals",maricarmenyjorge@gmail.com,Balenyà,Osona,https://www.balenya.cat,balenya
Llar del jubilat,"La Llar dels Jubilats dels Hostalets de Baleny&agrave; est&agrave; ubicada al centre del poble, a la Pla&ccedil;a Bosch i Jover.",llarjubilats@balenya.cat,Balenyà,Osona,https://www.balenya.cat,balenya
Mas Jalech,Productors de fruita i hortalissa ecol&ograve;gica. Sebasti&agrave; Mart&iacute; Gasch,maseljalech@gmail.com,Balenyà,Osona,https://www.balenya.cat,balenya
"Mas-Soler 2000, SL",Mecanitzaci&oacute; de peces i treballs amb torn,massoler@massoler.com,Balenyà,Osona,https://www.balenya.cat,balenya
Mate perruqueria,Perruqueria,matea.pere@hotmail.com,Balenyà,Osona,https://www.balenya.cat,balenya
"Moycor Vic, SL",,info@moycorvic.es,Balenyà,Osona,https://www.balenya.cat,balenya
Oficina d'atenció a la ciutadania (OAC),,balenya@diba.cat,Balenyà,Osona,https://www.balenya.cat,balenya
Recien llovido,"Disseny i producci&oacute; de joieria, venda de roba i complements",recienllovido@gmail.com,Balenyà,Osona,https://www.balenya.cat,balenya
Registre civil,,registre.civil@balenya.cat,Balenyà,Osona,https://www.balenya.cat,balenya
Residència per a la gent gran Casal Oller,La Resid&egrave;ncia Casal Oller era una antiga casa d&rsquo;estiueig i des del 1991 est&agrave; donada d&rsquo;alta com a resid&egrave;ncia per a la gent gran.,info@casaloller.com,Balenyà,Osona,https://www.balenya.cat,balenya
SIS la Quitxalla,"Servei d&rsquo;Intervenci&oacute; Socioeducativa, que acompanyem infants i les seves fam&iacute;lies en el seu propi proc&eacute;s vital.",coquitxallabalenya@gmail.com,Balenyà,Osona,https://www.balenya.cat,balenya
Secretaria - Intervenció - Tresoreria,,menendezgmr@diba.cat,Balenyà,Osona,https://www.balenya.cat,balenya
Servei de Vigilància Municipal,,guardiamunicipal@balenya.cat,Balenyà,Osona,https://www.balenya.cat,balenya
ALSA,,alsa@alsa.es,Borredà,Berguedà,https://www.borreda.cat,borreda
Agència de Desenvolupament del Berguedà,,agencia@adbergueda.cat,Borredà,Berguedà,https://www.borreda.cat,borreda
Arquitecte municipal,,garciapar@borreda.cat,Borredà,Berguedà,https://www.borreda.cat,borreda
Bar-Restaurant Cobert de Puigcercós,,elcobert@hotmail.com,Borredà,Berguedà,https://www.borreda.cat,borreda
Bibliobús Pedraforca,,b.pedraforca@diba.cat,Borredà,Berguedà,https://www.borreda.cat,borreda
CEIP Borredà,,a8014796@centres.xtec.es,Borredà,Berguedà,https://www.borreda.cat,borreda
CasaClara,,casaclaraborreda@gmail.com,Borredà,Berguedà,https://www.borreda.cat,borreda
CatSalut Respon,,sem@gencat.cat,Borredà,Berguedà,https://www.borreda.cat,borreda
Consell Comarcal del Berguedà,,ccbergueda@ccbergueda.cat,Borredà,Berguedà,https://www.borreda.cat,borreda
El Querol Artesà,,info@elquerolvell.com,Borredà,Berguedà,https://www.borreda.cat,borreda
Hospital Sant Bernabé,,hsb@hsb.cat,Borredà,Berguedà,https://www.borreda.cat,borreda
La Bauma Artesanal Formatgeria,,bauma@formatgebauma.com,Borredà,Berguedà,https://www.borreda.cat,borreda
Oficina d'atenció a la ciutadania (OAC),,borreda@borreda.cat,Borredà,Berguedà,https://www.borreda.cat,borreda
Penya Blaugrana de Borredà,,pbb@jaumemagrans.com,Borredà,Berguedà,https://www.borreda.cat,borreda
Restaurant Baix Pirineu,,info@baixpirineu.com,Borredà,Berguedà,https://www.borreda.cat,borreda
Restaurant Riera de Merlès,,info@campingrieramerles.com,Borredà,Berguedà,https://www.borreda.cat,borreda
Secretària i interventora accidental,,cabanasm@diba.cat,Borredà,Berguedà,https://www.borreda.cat,borreda
Societat de Caçadors Sobrepuny - Caça,,sobrepuny@gmail.com,Borredà,Berguedà,https://www.borreda.cat,borreda
ASFATAC - Associació de Familiars d'adolescents amb trastorn alimentari i/o conducta,,asfatac@gmail.com,Calldetenes,Osona,https://www.calldetenes.cat,calldetenes
