Business Name,City,Region,Website,Emails,Events Count,Total Visits,City Slug (for sponsor targeting)
Barcelona,Barcelona,Barcelonès,https://www.barcelonaturisme.com,info@barcelonaturisme.com; my@email.com,32,1571,barcelona
Sant Martí d'Albars,Sant Martí d'Albars,Osona,https://www.santmartidalbars.cat,,37,1538,sant-marti-d-albars
Rellinars,Rellinars,Vallès Occidental,https://www.rellinars.cat,,39,1474,rellinars
Les Cabanyes,Les Cabanyes,Alt Penedès,https://www.lescabanyes.cat,cabanyes@lescabanyes.cat,43,1220,les-cabanyes
Tavèrnoles,Tavèrnoles,Osona,https://www.tavernoles.cat,,28,1190,tavernoles
Collsuspina,Collsuspina,Moianès,https://www.collsuspina.cat,collsuspina@diba.cat; collsuspina@collsuspina.cat,26,1137,collsuspina
Castellví de la Marca,Castellví de la Marca,Alt Penedès,https://www.castellvidelamarca.cat,,19,1103,castellvi-de-la-marca
Vilanova del Vallès,Vilanova del Vallès,Vallès Oriental,https://www.vilanovadelvalles.cat,,48,1072,vilanova-del-valles
Seva,Seva,Osona,https://www.seva.cat,,30,1065,seva
"Les Masies de Voltregà, Osona",Les Masies de Voltregà,Osona,https://www.lesmasiesdevoltrega.cat,,26,1019,les-masies-de-voltrega
El Masnou,El Masnou,Maresme,https://www.elmasnou.cat,adm.municipal@elmasnou.cat; alcaldia@elmasnou.cat; arxiu@elmasnou.cat; biblioteca@elmasnou.cat; canhumet@elmasnou.cat; cap.unitat.sp@elmasnou.cat; caporaldesala@elmasnou.cat; catala@elmasnou.cat; cfam@elmasnou.cat; centre.obert.maricel@elmasnou.cat; cvf@elmasnou.cat; complex.poliesportiu@elmasnou.cat; consum@elmasnou.cat; coord.brigada@elmasnou.cat; sad@elmasnou.cat; cultura@elmasnou.cat; dona@elmasnou.cat; ebasp@elmasnou.cat; educacio@elmasnou.cat; enllumenat@elmasnou.cat; esports@elmasnou.cat; estadistica@elmasnou.cat; gent.gran@elmasnou.cat; gestioeconomica@elmasnou.cat; infancia@elmasnou.cat; viapublica@elmasnou.cat; intervencio@elmasnou.cat; joventut@elmasnou.cat; manteniment@elmasnou.cat; mediambient@elmasnou.cat; mediacio.intercultural@elmasnou.cat; mercatmunicipal@elmasnou.cat; mobilitat@elmasnou.cat; monitors@elmasnou.cat; useu.nautica@masnou.cat; nousprojectes@elmasnou.cat; tic@elmasnou.cat; oac@elmasnou.cat; oap@elmasnou.cat; habitatge@elmasnou.cat; otm@elmasnou.cat; otu@elmasnou.cat; omic@elmasnou.cat; p.economica@elmasnou.cat; protecciocivil@elmasnou.cat; recaptacio@elmasnou.cat; recepcio@elmasnou.cat; rrhh@elmasnou.cat; rendes@elmasnou.cat; salut.publica@elmasnou.cat; seguretatciutadana@elmasnou.cat; serveis.socials@elmasnou.cat; solsolet@elmasnou.cat; solidaritat.cooperaci%c3%b3@elmasnou.cat; civisme@elmasnou.cat; tresoreria@elmasnou.cat; urbanisme@elmasnou.cat; vigilantscivics@elmasnou.cat,35,989,el-masnou
Sant Cugat Sesgarrigues,Sant Cugat Sesgarrigues,Alt Penedès,https://www.santcugatsesgarrigues.cat,,25,954,sant-cugat-sesgarrigues
Teatre L'Ateneu,Celrà,Gironès,https://www.celracultura.cat,cultura@celra.cat,20,945,celra
Sora,Sora,Osona,https://www.sora.cat,,29,896,sora
Altafulla,Altafulla,Tarragonès,https://www.altafulla.cat,,28,891,altafulla
Fogars de Montclús,Fogars de Montclús,Vallès Oriental,https://www.fogarsdemontclus.cat,,25,882,fogars-de-montclus
Santa Maria de Miralles,Santa Maria de Miralles,Anoia,https://www.santamariademiralles.cat,,15,862,santa-maria-de-miralles
Folgueroles,Folgueroles,Osona,https://www.folgueroles.cat,,31,849,folgueroles
Vallirana,Vallirana,Baix Llobregat,https://www.vallirana.cat,,34,821,vallirana
Òrrius,Òrrius,Maresme,https://www.orrius.cat,,21,746,orrius
Sant Cebrià de Vallalta,Sant Cebrià de Vallalta,Maresme,https://www.stcebria.cat,scvl.ajuntament@stcebria.cat,38,740,sant-cebria-de-vallalta
Malla,Malla,Osona,https://www.malla-osona.cat,,12,726,malla
Montmeló,Montmeló,Vallès Oriental,https://www.montmelo.cat,ajuntamentdemontmel@montmelo.cat,30,721,montmelo
Arenys de Munt,Arenys de Munt,Maresme,https://www.arenysdemunt.cat,ajuntament@arenysdemunt.cat; calendariarenysdemunt@gmail.com,19,720,arenys-de-munt
"Sant Esteve de Palautordera, Vallès Oriental",Sant Esteve de Palautordera,Vallès Oriental,https://www.santestevedepalautordera.cat,,31,700,sant-esteve-de-palautordera
Centre Cultural,Malgrat de Mar,Maresme,https://www.ajmalgrat.cat,,19,652,malgrat-de-mar
Badalona,Badalona,Barcelonès,https://www.badalona.cat,correu@badalona.cat,30,642,badalona
Teatre Eliseu,Roda de Ter,Osona,https://www.rodadeter.cat,rodadeter@rodadeter.cat,27,597,roda-de-ter
Vilanova del Camí,Vilanova del Camí,Anoia,https://www.vilanovadelcami.cat,,19,507,vilanova-del-cami
Tona,Tona,Osona,https://www.tona.cat,,24,503,tona
Cànoves i Samalús,Cànoves i Samalús,Vallès Oriental,https://www.canovesisamalus.cat,,26,498,canoves-i-samalus
